id,trajet_id,passager_id,statut,date_reservation
1,1,2,confirmee,2026-07-01
2,1,4,confirmee,2026-07-01
3,1,8,en_attente,2026-07-02
4,2,10,confirmee,2026-07-01
5,2,12,en_attente,2026-07-03
6,3,2,confirmee,2026-07-02
7,3,4,annulee,2026-07-01
8,4,10,confirmee,2026-07-02
9,4,12,en_attente,2026-07-04
10,5,14,confirmee,2026-07-02
11,5,16,refusee,2026-07-01
12,6,2,confirmee,2026-07-03
13,6,8,en_attente,2026-07-05
14,7,10,confirmee,2026-07-03
15,7,12,confirmee,2026-07-03
16,8,4,en_attente,2026-07-04
17,8,14,refusee,2026-07-02
18,9,2,confirmee,2026-07-04
19,9,16,en_attente,2026-07-06
20,10,8,confirmee,2026-07-04
21,11,4,en_attente,2026-07-05
22,11,12,confirmee,2026-07-03
23,12,2,confirmee,2026-07-05
24,12,10,en_attente,2026-07-07
25,13,14,confirmee,2026-07-05
26,13,16,refusee,2026-07-04
27,14,4,en_attente,2026-07-06
28,14,8,confirmee,2026-07-04
29,15,2,confirmee,2026-07-06
30,15,10,en_attente,2026-07-08
31,16,12,annulee,2026-07-05
32,17,14,en_attente,2026-07-07
33,18,4,confirmee,2026-07-06
34,19,8,en_attente,2026-07-09
35,20,2,confirmee,2026-07-07
