id,conducteur_id,ville_depart,ville_arrivee,horaire,places_disponibles,jours_recurrence
1,1,Casablanca,Rabat,07:30,3,"lundi,mardi,mercredi,jeudi,vendredi"
2,1,Casablanca,Rabat,18:00,3,"lundi,mardi,mercredi,jeudi,vendredi"
3,3,Mohammedia,Casablanca,08:00,2,"lundi,mercredi,vendredi"
4,5,Casablanca,Mohammedia,07:45,4,""
5,5,Mohammedia,Casablanca,17:30,4,""
6,6,Rabat,Casablanca,08:15,2,"lundi,mardi,mercredi,jeudi,vendredi"
7,7,Casablanca,Rabat,07:00,3,"mardi,jeudi"
8,9,Casablanca,Rabat,08:30,2,"lundi,mercredi,vendredi"
9,11,Rabat,Casablanca,07:45,3,"lundi,mardi,mercredi,jeudi,vendredi"
10,13,Casablanca,Mohammedia,08:00,1,""
11,15,Mohammedia,Casablanca,18:30,2,"lundi,mardi,mercredi,jeudi,vendredi"
12,17,Casablanca,Rabat,07:15,3,"lundi,mardi,mercredi,jeudi,vendredi"
13,17,Rabat,Casablanca,18:00,3,"lundi,mardi,mercredi,jeudi,vendredi"
14,19,Rabat,Casablanca,08:00,2,"mardi,jeudi,vendredi"
15,21,Mohammedia,Casablanca,07:30,4,"lundi,mardi,mercredi,jeudi,vendredi"
16,21,Casablanca,Mohammedia,17:45,4,"lundi,mardi,mercredi,jeudi,vendredi"
17,23,Rabat,Casablanca,09:00,2,""
18,25,Casablanca,Rabat,07:00,3,"lundi,mercredi,vendredi"
19,25,Rabat,Casablanca,19:00,3,"lundi,mercredi,vendredi"
20,27,Rabat,Casablanca,08:15,2,"mardi,jeudi"
21,29,Mohammedia,Casablanca,07:45,1,"lundi,mardi,mercredi,jeudi,vendredi"
22,31,Rabat,Salé,08:00,3,"lundi,mardi,mercredi,jeudi,vendredi"
23,33,Casablanca,Rabat,07:30,4,"lundi,mardi,mercredi,jeudi,vendredi"
24,35,Rabat,Casablanca,07:00,2,"lundi,mercredi,vendredi"
25,37,Mohammedia,Casablanca,08:30,3,"mardi,jeudi,vendredi"
